A00,Cólera
W53,Mordedura rato
W54,Mordedura golpe provocado cão
W55,Mordedura golpe provocado outros animais mamíferos
W56,Contato animais marinhos
W57,Mordeduras picadas inseto outros artrópodes
W58,Mordedura golpe provocado crocodilo aligátor
W59,Mordedura esmagamento provocado outros répteis
W60,Contato espinhos plantas folhas aguçadas
W64,Exposição outras forças mecânicas animadas às não especificadas
W65,Afogamento submersão durante banho banheira
W66,Afogamento submersão consecutiva queda dentro uma banheira
W67,Afogamento submersão piscina
W68,Afogamento submersão conseqüente queda dentro uma piscina
W69,Afogamento submersão águas naturais
W70,Afogamento submersão conseqüentes queda dentro águas naturais
W73,Outros afogamentos submersão especificados
W74,Afogamento submersão não especificados
W75,Sufocação estrangulamento acidental na cama
W76,Outro enforcamento estrangulamento acidental
W77,Risco respiração devido desmoronamento
W78,Inalação conteúdo gástrico
W79,Inalação ingestão alimentos causando obstrução trato respiratório
W80,Inalação ingestão outros objetos causando obstrução trato respiratório
W81,Confinado aprisionado um ambiente pobre oxigênio
W83,Outros riscos especificados à respiração
W84,Riscos não especificados à respiração
W85,Exposição linhas transmissão corrente elétrica
W86,Exposição outra corrente elétrica especificada
W87,Exposição corrente elétrica não especificada
W88,Exposição radiação ionizante
W89,Exposição fontes luminosas artificiais visíveis à luz ultravioleta
W90,Exposição outros tipos radiação não-ionizante
W91,Exposição tipo não especificado radiação
W92,Exposição um calor excessivo origem artificial
W93,Exposição um frio excessivo origem artificial
W94,Exposição alta
W99,Exposição outros fatores ambientais artificiais aos não especificados
X00,Exposição fogo não-controlado um edifício outro tipo construção
X01,Exposição fogo não-controlado fora um edifício outro tipo construção
X02,Exposição fogo controlado um edifício outro tipo construção
X03,Exposição fogo controlado fora um edifício outro tipo construção
X04,Exposição combustão substância muito inflamável
X05,Exposição combustão roupa dormir
X06,Exposição combustão outro tipo roupa acessórios
X08,Exposição outro tipo especificado fumaça
X09,Exposição tipo não especificado fumaça
X10,Contato bebidas
X11,Contato água corrente quente torneira
X12,Contato outros líquidos quentes
X13,Contato vapor d'água vapores quentes
X14,Contato ar gases quentes
X15,Contato aparelhos domésticos quentes
X16,Contato aquecedores
X17,Contato motores
X18,Contato outros metais quentes
X19,Contato outras fontes calor substâncias quentes não especificados
X20,Contato serpentes lagartos venenosos
X21,Contato aranhas venenosas
X22,Contato escorpiões
X23,Contato abelhas
X24,Contato centopéias miriápodes venenosas (tropicais)
X25,Contato outros artrópodes venenosos
X26,Contato animais plantas marinhos venenosos
X27,Contato outros animais venenosos especificados
X28,Contato outras plantas venenosas especificadas
X29,Contato animais plantas venenosos
X30,Exposição calor natural excessivo
X31,Exposição frio natural excessivo
X32,Exposição à luz solar
X33,Vítima raio
X34,Vítima terremoto
X35,Vítima erupção vulcânica
X36,Vítima avalanche
X37,Vítima tempestade cataclísmica
X38,Vítima inundação
X39,Exposição outras forças natureza às não especificadas
X40,Envenenamento [intoxicação] acidental exposição analgésicos
X41,Envenenamento [intoxicação] acidental exposição anticonvulsivantes [antiepilépticos]
X42,Envenenamento [intoxicação] acidental exposição narcóticos psicodislépticos [alucinógenos] não classificados outra parte
X43,Envenenamento [intoxicação] acidental exposição outras substâncias farmacológicas ação sobre o sistema nervoso autônomo
X44,Envenenamento [intoxicação] acidental exposição outras drogas
X45,Envenenamento [intoxicação] acidental exposição álcool
X46,Envenenamento [intoxicação] acidental exposição solventes orgânicos hidrocarbonetos halogenados seus vapores
X47,Intoxicação acidental exposição outros gases vapores
X48,Envenenamento [intoxicação] acidental exposição pesticidas
X49,Envenenamento [intoxicação] acidental exposição outras substâncias químicas nocivas às não especificadas
X50,Excesso exercícios movimentos vigorosos repetitivos
X51,Viagem movimento
X52,Estadia prolongada ambiente agravitacional
X53,Falta alimento
X54,Falta água
X57,Privação não especificada
X58,Exposição outros fatores especificados
X59,Exposição fatores não especificados
X60,Auto-intoxicação exposição
X61,Auto-intoxicação exposição
X62,Auto-intoxicação exposição
X63,Auto-intoxicação exposição
X64,Auto-intoxicação exposição
X65,Auto-intoxicação voluntária álcool
X66,Auto-intoxicação intencional solventes orgânicos
X67,Auto-intoxicação intencional outros gases vapores
X68,Auto-intoxicação exposição
X69,Auto-intoxicação exposição
X70,Lesão autoprovocada intencionalmente enforcamento
X71,Lesão autoprovocada intencionalmente afogamento submersão
X72,Lesão autoprovocada intencionalmente disparo arma fogo mão
X73,Lesão autoprovocada intencionalmente disparo espingarda
X74,Lesão autoprovocada intencionalmente disparo outra arma fogo arma fogo não especificada
X75,Lesão autoprovocada intencionalmente dispositivos explosivos
X76,Lesão autoprovocada intencionalmente fumaça
X77,Lesão autoprovocada intencionalmente vapor água
X78,Lesão autoprovocada intencionalmente objeto cortante penetrante
X79,Lesão autoprovocada intencionalmente objeto contundente
X80,Lesão autoprovocada intencionalmente precipitação um lugar elevado
X81,Lesão autoprovocada intencionalmente precipitação permanência diante um objeto movimento
X82,Lesão autoprovocada intencionalmente impacto um veículo motor
X83,Lesão autoprovocada intencionalmente outros meios especificados
X84,Lesão autoprovocada intencionalmente meios não especificados
X85,Agressão meio drogas
X86,Agressão meio substâncias corrosivas
X87,Agressão pesticidas
X88,Agressão meio gases vapores
X89,Agressão meio outros produtos químicos substâncias nocivas especificados
X90,Agressão meio produtos químicos substâncias nocivas não especificados
X91,Agressão meio enforcamento
X92,Agressão meio afogamento submersão
X93,Agressão meio disparo arma fogo mão
X94,Agressão meio disparo espingarda
X95,Agressão meio disparo outra arma fogo arma não especificada
X96,Agressão meio material explosivo
X97,Agressão meio fumaça
X98,Agressão meio vapor água
X99,Agressão meio objeto cortante penetrante
Y00,Agressão meio um objeto contundente
Y01,Agressão meio projeção um lugar elevado
Y02,Agressão meio projeção colocação vítima diante um objeto movimento
Y03,Agressão meio impacto um veículo motor
Y04,Agressão meio força corporal
Y05,Agressão sexual meio força física
Y06,Negligência abandono
Y07,Outras síndromes maus tratos
Y08,Agressão outros meios especificados
Y09,Agressão meios não especificados
Y10,Envenenamento [intoxicação] exposição analgésicos
Y11,Envenenamento [intoxicação] exposição anticonvulsivantes [antiepilépticos]
Y12,Envenenamento [intoxicação] exposição narcóticos psicodislépticos [alucinógenos] não classificados outra parte
Y13,Envenenamento [intoxicação] exposição outras substâncias farmacológicas ação sobre o sistema nervoso autônomo
Y14,Envenenamento [intoxicação] exposição outras drogas
Y15,Envenenamento [intoxicação] exposição álcool
Y16,Envenenamento [intoxicação] exposição solventes orgânicos hidrocarbonetos halogenados seus vapores
Y17,Envenenamento [intoxicação] exposição outros gases vapores
Y18,Envenenamento [intoxicação] exposição pesticidas
Y19,Envenenamento [intoxicação] exposição outros produtos químicos substâncias nocivas aos não especificados
Y20,Enforcamento
Y21,Afogamento submersão
Y22,Disparo pistola
Y23,Disparo fuzil
Y24,Disparo outra arma fogo arma fogo não especificada
Y25,Contato material explosivo
Y26,Exposição fumaça
Y27,Exposição vapor água
Y28,Contato objeto cortante penetrante
Y29,Contato objeto contundente
Y30,Queda
Y31,Queda
Y32,Impacto um veículo motor
Y33,Outros fatos eventos especificados
Y34,Fatos eventos não especificados intenção não determinada
Y35,Intervenção legal
Y36,Operações guerra
Y40,Efeitos adversos antibióticos sistêmicos
Y41,Efeitos adversos outros antiinfecciosos antiparasitários sistêmicos
Y42,Efeitos adversos hormônios seus substitutos sintéticos antagonistas
Y43,Efeitos adversos substâncias ação primariamente sistêmica
Y44,Efeitos adversos substâncias farmacológicas que atuam primariamente sobre os constituintes sangue
Y45,Efeitos adversos substâncias analgésicas
Y46,Efeitos adversos drogas anticonvulsivantes (antiepilépticas) antiparkinsonianas
Y47,Efeitos adversos sedativos
Y48,Efeitos adversos anestésicos gases terapêuticos
Y49,Efeitos adversos substâncias psicotrópicas
Y50,Efeitos adversos estimulantes sistema nervoso central
Y51,Efeitos adversos drogas que atuam primariamente sobre o sistema nervoso autônomo
Y52,Efeitos adversos substâncias que atuam primariamente sobre o aparelho cardiovascular
Y53,Efeitos adversos substâncias que atuam primariamente sobre o aparelho gastrointestinal
Y54,Efeitos adversos substâncias que atuam primariamente sobre o metabolismo água
Y55,Efeitos adversos substâncias que atuam primariamente sobre os músculos lisos esqueléticos sobre o aparelho respiratório
Y56,Efeitos adversos substâncias uso tópico que atuam primariamente sobre pele as membranas mucosas drogas uso oftalmológico
Y57,Efeitos adversos outras drogas medicamentos as não especificadas
Y58,Efeitos adversos vacinas bacterianas
Y59,Efeitos adversos outras vacinas substâncias biológicas as não especificadas
Y60,Corte
Y61,Objeto estranho deixado acidentalmente no corpo durante prestação cuidados cirúrgicos médicos
Y62,Assepsia insuficiente durante prestação cuidados cirúrgicos médicos
Y63,Erros dosagem durante prestação cuidados médicos cirúrgicos
Y64,Medicamentos substâncias biológicas contaminados
Y65,Outros acidentes durante prestação cuidados médicos cirúrgicos
Y66,Não administração cuidado médico cirúrgico
Y69,Acidente não especificado durante prestação cuidado médico cirúrgico
Y70,Dispositivos (aparelhos) anestesiologia
Y71,Dispositivos (aparelhos) cardiovasculares
Y72,Dispositivos (aparelhos) utilizados otorrinolaringologia
Y73,Dispositivos (aparelhos) usados gastroenterologia urologia
Y74,Dispositivos (aparelhos) gerais uso hospitalar pessoal
Y75,Dispositivos (aparelhos) utilizados neurologia
Y76,Dispositivos (aparelhos) utilizados obstetrícia ginecologia
Y77,Dispositivos (aparelhos) utilizados oftalmologia
Y78,Dispositivos (aparelhos) utilizados radiologia
Y79,Dispositivos (aparelhos) ortopédicos
Y80,Dispositivos (aparelhos) utilizados medicina física (fisiatria)
Y81,Dispositivos (aparelhos) utilizados cirurgia geral cirurgia plástica
Y82,Outros dispositivos (aparelhos) associados incidentes adversos os não especificados
Y83,Reação anormal paciente complicação tardia
Y84,Reação anormal paciente complicação tardia
Y85,Seqüelas acidentes transporte
Y86,Seqüelas outros acidentes
Y87,Seqüelas uma lesão autoprovocada intencionalmente
Y88,Seqüelas cuidado médico cirúrgico considerados uma causa externa
Y89,Seqüelas outras causas externas
Y90,Evidência alcoolismo determinada taxas alcoolemia
Y91,Evidência alcoolismo determinada  nível intoxicação
Y95,Circunstância relativa as condições nosocomiais (hospitalares)
Y96,Circunstância relativa às condições trabalho
Y97,Circunstâncias relativas condições poluição ambiental
Y98,Circunstâncias relativas condições modo vida
Z00,Exame geral investigação pessoas queixas diagnóstico relatado
Z01,Outros exames investigações especiais pessoas queixa diagnóstico relatado
Z02,Exame médico consulta finalidades administrativas
Z03,Observação avaliação médica doenças afecções suspeitas
Z04,Exame observação outras razões
Z08,Exame seguimento após tratamento neoplasia maligna
Z09,Exame seguimento após tratamento outras afecções que não neoplasias malignas
"Z10,""Exame geral rotina (""""check up"""") uma subpopulação definida"""
"Z11,""Exame especial rastreamento (""""screening"""") doenças infecciosas parasitárias"""
